NU1	NU2	NU3	NU4	NU5	NU6	NU7	NU8	NU9	NU10	NU11	NU12	NU13	NU14	NU15	NU16	NU17	NU18	NU19	NU20	NU21	NU22	NU23	NU24	NU25	NU26	NU27	NU28	NU30	NU31	NU32	NU33	NU34	NU36	NU38	NU44	NU95	NU96	UC2	UC7	UC8	UC9	UC10	UC12	UC15	UC16	UC18	UC20	UC22	UC23	UC24	UC25	UC26	UC29	UC30	UC31	UC32	UC33	UC34	UC35	UC36	UC37	UC38	UC39	UC40	UC41	UC42	UC43	UC45	UC46	UC47	UC48	UC49	UC50	UC51	UC52	UC53	UC54	UC55	UC56	UC57	UC58	UC59	UC60	UC61	UC62	UC63	UC64	UC65	UC66	UC67	UC68	UC69	UC70	UC71	UC72	UC73	UC74	UC75	UC76	UC77	UC78	UC79	UC80	UC81	UC82	UC83	UC84	UC85	UC86	UC87	UC88	UC89	UC90	UC91	UC92	UC93	UC94	UC95	UC96	UC97	UC98	UC99	UC100	UC101	UC102	UC103	UC104	UC105
SGCA	9.33628338786443	9.89618101138754	8.93604896367662	8.94178124227853	9.00197108750993	8.99067128397527	9.48139582415413	8.81794296832513	8.20725841036353	8.62461270900574	9.08507405303684	7.20847824221171	7.8008998999203	9.13378440917991	9.74919903006095	9.56928601101847	7.65248649491816	6.29370154208074	6.31952159724048	6.4966540825935	7.9393833159373	7.4757334309664	8.18784690943957	8.08001802908917	8.04001567884788	8.46025109894385	8.37025148142518	8.06069593168755	6.70735913208088	5.12928301694497	4.12101540096137	4.83289001416474	4.97269265400426	5.18189764310839	3.91647664443772	7.25361115194717	5.88752527074159	3.82781902461732	3.12928301694497	4.07895134139482	8.37199439319365	3.68929916053589	2.20163386116965	4.41953889151378	3.12928301694497	3.52356195605701	4.11270013274936	2.82781902461732	4.68929916053589	3.37851162325373	3.10433665981474	2.48542682717024	3.78659636189081	6.71836162613835	7.20945336562895	3.59693514238723	3.32192809488736	3.73335434061383	4.08746284125034	3.76022094646651	3.23266075679027	5.82273014794452	3	3.88752527074159	5.49505552836802	6.08214904135387	4.56071495447448	4.36457243229586	2.84799690655495	3.46379681076284	5.83541884047548	4.62643913669732	3.20163386116965	2.88752527074159	4.90689059560852	2.71149490665009	3.84799690655495	3.44625622988956	3.51096191927738	3.13750352374994	2.56071495447448	3.30742852519225	4.15380533607904	4.0703893278914	2.29278174922785	2.43295940727611	3.05311133645956	3.49825086752783	3.43295940727611	2.84799690655495	2.98185265328974	2.56071495447448	3.15380533607904	2.65535182861255	2.67807190511264	2.10433665981474	3.53605290024021	3.13750352374994	2.83794324189103	3.05311133645956	2.37851162325373	2.56071495447448	3.33628338786443	3.43295940727611	2.43295940727611	3.26303440583379	2.53605290024021	3.62058641045188	2.72246602447109	2.78659636189081	3.82781902461732	4.35755200461808	2.86789646399265	3.32192809488736	3	2.72246602447109	3.18586654531133	3.96347412397489	3.12101540096137	3.11270013274936	3.95419631038688	2.58496250072116	2.90689059560852	4.72246602447109	2.82781902461732	3.20163386116965	4.24412594328373	3.12101540096137	2.48542682717024
P2RX1	13.6134326594552	13.7511046563945	12.0692483534096	11.7794526206531	12.8041108491318	12.3999187425714	12.4570986742783	12.573268477676	12.1209668180097	11.7550962103072	13.2191231329495	10.3912435894274	10.250179965175	11.5859718462348	12.4966540825935	13.471256060759	11.1970938007346	11.2897019262342	10.5649751032296	11.64218710851	12.6502739095301	12.4803105691411	11.8829677720268	11.5594248927513	12.1149786038333	12.7933391296632	12.867471806962	12.5771455485818	10.6089016254144	9.78659636189081	11.4170613467603	10.8967864861801	12.0880925568734	10.5043224482919	10.5893702570618	11.4985251370421	9.05446865619548	6.90327934205614	7.20310325023664	7.34074028063018	11.4202760618854	8.98641093525204	6.88508622529017	7.87405920314115	6.13647851834917	6.94602898951548	8.59432460392485	8.15936680974374	9.46882765523095	7.67701485655572	7.85299758761332	6.6906964439777	9.74567432400213	12.0254164445442	10.3810021095509	8.12928301694497	7.39489136644259	7.56033283421244	10.3126560986063	8.578750063856	8.0948694327187	9.66338020236849	6.89360490485829	9.26115467261557	10.3259799793944	9.26502894245816	9.70026630687327	8.20065343636747	10.3233925884759	8.68626706237774	9.88554386051713	8.50620838930674	7.68229237143083	9.00758797231917	8.39403389536778	6.48300957716455	7.97842446544086	8.26959425168337	7.68580001974489	8.00393948568806	7.21431912080077	7.57061472176119	8.02347715183043	8.09803208296053	5.44294349584873	6.44625622988956	7.88264304936184	7.04220656012069	7.62570884306446	7.51924309436118	7.01122725542325	6.08533966935737	6.77676200178623	6.76088624278491	7.11478344724985	7.12825215227739	7.46107011403305	8.49745269597724	6.92243574023315	6.23457795978457	7.1261882105221	5.60584986719498	7.52473758701238	6.39574832817903	7.02236781302845	5.46923479366766	7.71355835640479	7.79571500650173	5.42961596420174	7.38887833881199	6.94251450533924	7.1261882105221	8.12928301694497	9.11217883372259	7.71149490665009	7.40343816300828	7.26491169307446	7.39489136644259	6.31288295528436	8.21383328309929	8.27658971572526	7.30742852519225	7.21237478756727	4.93545974780529	7.62131930101419	8.00618579994629	9.0008450815672	7.29920801838728	5.91169158187234
KIAA1644	10.595257481449	10.8929222236306	9.86897684545916	10.0760138770853	9.95623093654988	10.1503819688178	9.39424831092007	9.7515440590891	9.97742304090898	9.74668226189191	9.99038765180274	10.0262467726482	8.65928239338433	9.26854200030012	10.0155544364785	9.97541810405936	8.97871045910636	9.01792190799726	8.34636598432039	8.71458897559915	10.0284586474255	9.94982671075911	9.74458159603708	9.81458246590628	9.96852280446902	10.7895336449704	10.3858624006415	9.67595703294175	9.12179250576921	8.5438051759644	8.77346892790519	8.70113315484797	9.56567332962135	8.87835751033693	10.5005431540064	9.50114054326587	6.93428059364002	7.71149490665009	5.50143914515887	7.08640164588003	7.91169158187234	7.61176256006487	6.64673869830785	4.78659636189081	7.81442224656679	6.17592374206376	7.59544398458948	6.21334728173344	7.1548181090521	7.01346225980656	4.75488750216347	7.28169825009883	8.61875255353673	9.13724734066467	8.77610398807316	4.63807383718072	6.15785216914174	7.1106138055009	7.84674402324487	7.65391987311942	7.43712784427281	8.14465824283188	6.76022094646651	6.67666233485797	8.81538329581354	7.92570278135133	7.95361446119936	7.63734941083314	8.15987133677839	7.6646250548693	7.47897180503294	6.56529252058102	6.87159726561385	7.79116288855502	7.09908476089186	6.3931759143488	6.35402893805439	4.45285896471381	7.08746284125034	5.48542682717024	5.91647664443772	4.57893871309339	6.94953493301701	5.87528859822269	5.77873424411784	5.6724253419715	6.44294349584873	6.63662462054365	6.10433665981474	4.69766263347052	6.42122329922514	4.24031432933371	6.07681559705083	5.61765111942733	4.61470984411521	5.80477637795583	6.45779126025604	6.8592241619782	6.75555526197214	4.88752527074159	5.40599235967584	5.79960542245267	5.14567745519564	4.83289001416474	4.91169158187234	4.82781902461732	5.56985560833095	6.74146698640115	6.3327079336406	6.29278174922785	6.1106138055009	6.71424551766612	6.29645740737124	6.45285896471381	4.45285896471381	6.2364926183813	8.13852780142227	4.94485844580754	5.90929308582382	7.41278152533848	5.47411151394241	5.88752527074159	6.43629511983936	8.00674683244059	6.68229237143083	6.65963918701565	7.20261362014849	7.60880924267552	5.99322146736894
SVIL	13.7440138914468	13.9141047885251	12.9231788994938	13.6509395370186	13.5181859497349	13.3402117444801	12.4250322758813	12.8302378913282	12.7879943569189	12.1399669626425	12.7749929089332	12.5930409115894	11.7774197155158	12.5915690954906	12.8565811507648	13.2789865936887	13.0924433338336	12.5374004249368	12.417782206309	12.9958731236047	13.3128167919655	13.2323759546846	13.1101325441642	13.5420645422834	13.2119947289133	13.3708508448726	13.4668794350287	13.4619909505856	11.5828476285503	12.4335072017708	12.4054606081528	12.0448380623047	13.2697403370284	12.7362750768222	13.3053920369306	11.32342073725	11.1461867914907	11.5602372883307	10.5643400579856	10.665691217037	12.2368812231085	11.1858665453113	10.1641527077646	11.103550092758	9.65865779212609	10.1015161407524	11.1880324292805	10.6624013498745	11.8764402054261	10.9474908348537	10.501638178758	9.92733353171248	11.7453802094208	13.04338620335	11.7163907894977	10.0292872269682	10.4880409522888	10.5286982835742	12.2635332985615	11.956829877743	10.4346282276367	13.1775596893785	9.19549524650911	10.525716548196	11.5176201821432	10.5183580958419	10.9149830165572	10.5741204350097	10.7008731551403	10.9562067319207	10.7558055922381	10.8232079933944	10.1769211116444	11.5718948206343	9.95855271543101	9.1893304006149	9.62131930101419	9.93957921431469	9.33158878453407	9.33940465790782	9.57723998124696	10.481193978048	9.28909670241999	9.98569965236977	9.3654475885501	8.76686014382955	9.17492568250068	8.61765111942733	9.14261765544658	8.01402047031493	8.54032180596415	9.13057056280543	9.3562318626554	9.34928122881745	9.04794184374751	9.16037568743582	9.27868175755934	9.65374077870657	8.89147994597097	9.07654840656189	9.42940674151398	9.18040648531064	9.17030065436486	9.13622215317019	8.84046323386954	8.99604972751976	9.1093083171837	9.85003052418976	7.83541884047548	9.65785433581572	9.87205919903182	10.0016896684042	10.4276271225462	10.5964693211178	9.37503943134693	7.57061472176119	9.08081752760833	10.0081484599101	10.7948219733312	10.4739086460463	10.3654475885501	9.83399692113922	8.72417275014144	10.270762520466	9.6398833131998	9.78871833269046	11.2508017335418	10.5636729598275	10.3067452691809
LMO3	12.8088033303859	12.5337190711399	12.3973270181388	13.2473193415164	13.2164730539301	12.6645139509855	12.0931534312783	11.6228754583742	12.3006528521889	11.6780278768822	11.91288933623	11.6422773785039	11.1029598859101	11.6048080178419	11.4018928083188	11.2777523356938	11.4945556167095	11.8883056563546	10.997555868662	11.1067592121329	12.6313968696142	12.4014128787142	12.2177456993902	11.7077904955288	12.8057035728446	12.6994206283221	12.5903297369982	12.7112797941442	11.180779419277	10.1479680537836	11.4849235673051	11.5176201821432	12.0412484589246	12.0278714488612	12.0199728946302	9.36150519794804	9.28978836605652	9.21018427590764	7.39746072605472	8.67736729213605	10.0691812091543	9.87467403163581	3.76553474636298	8.67171796512923	6.53216108498321	7.1048607997082	9.66213427479907	8.68825030913318	10.0563667610245	8.51254295509686	10.4727923624152	6.16390121381454	10.3808939168897	12.3058907438697	10.1367348379805	7.58646452588639	7.34695688937888	8.02181282358484	10.7383456381372	9.97376910470276	8.99237190701017	10.8372337003391	7.87282875953489	9.18065511866599	11.0218128235848	8.34429590791582	8.95332344858296	8.82591279878497	9.82017896241519	8.96395571269965	8.79992915072529	9.06069593168755	8.39746072605472	11.5172264737892	5.46923479366766	6.9407540474748	7.40599235967584	8.13699111208023	8.06447332875342	6.89360490485829	6.64817779572482	8.68860001099912	8.32867492732795	9.41362792902417	7.231701199029	7.06931549454008	6.83668159332712	5.76553474636298	9.53021123329988	7.45409362036545	8.18834157601082	7.04766925139131	6.59021276140836	7.38801728534513	6.53138146051631	7.53683000504806	7.76884595975339	8.55036201540073	7.30423722501714	7.06931549454008	7.55535603863583	7.12722055048807	8.04193288184217	9.16465556417991	6.90327934205614	7.39403389536778	8.50581155391959	8.8638765202211	6.52199295640167	7.6006563078263	7.79506558265962	6.27239650903748	8.50977500432694	9.14465824283188	8.20163386116965	7.85611423397746	7.43295940727611	6.59544398458948	7.51491126486135	8.21480479494805	7.55612281784117	8.66640155434373	7.91288933622996	6.03121873061072	7.08427691053149	7.40173284952262	9.95543196130228	9.0703893278914	6.92837032301897
SMTN	14.5573021432568	14.6052190593914	14.1139049157861	13.101327362724	13.7634509977246	13.6147098441152	14.5094038930604	13.6972825381972	13.10947972989	13.2902924951575	14.0005986505741	12.6297208910173	13.0473113957425	13.7772090742252	13.601956451498	14.4550638838763	12.4930047888033	12.6300736908002	11.7251247941959	12.8114549748066	13.0739351257109	13.4950055449966	13.4783335604244	13.5513958521226	13.4446008137115	13.9348242297497	13.9056220443697	13.728186256845	11.9527412471865	10.495555266861	12.0710600680778	12.3696518688705	12.9169057764116	11.6887311273482	11.6675551070411	12.3185569315506	10.8205778826558	9.53624721568813	10.2151689432923	9.8325735989774	13.6899106385679	10.7517114153959	7.5894638929561	9.45738087907253	9.76826704574486	9.51412226017071	10.1039434298916	9.04903169841002	12.1098632940689	9.75680647916562	9.90809234081827	7.18289089274548	11.8568534491218	13.2232777325382	11.596888567028	8.75254790584714	8.86943961853158	9.11374216604919	11.4272080694488	11.8670663358861	9.48119397804804	12.5942546137873	8.29324171895624	10.1800334549166	11.9094806119885	11.1284132734445	11.3440184398813	10.8321779823789	11.793725222019	10.2265727505135	11.6198531473912	11.103353383969	8.32777717058405	9.83668159332712	9.39403389536778	9.3409627642517	9.43941536121329	10.5878712556506	9.66923941125265	10.2076244682268	8.66817586897014	8.78920757534734	9.69435788722145	9.62314990022045	8.95739229305525	9.578750063856	9.59152234657073	9.28655776160796	9.70891143725402	9.34418492710566	8.65749710044411	8.72178276845979	8.81137469350994	9.6998326874895	9.83114887121932	8.63952159951083	9.16867211813223	10.0571794706738	8.3983161634002	7.77939105953591	8.43796008833447	8.95041008927126	9.07132827686101	9.2128611165929	9.06474276475026	9.50342824659197	8.53683000504806	8.76221591572778	7.65176927141799	8.41827429388054	9.5127404628035	8.76818432477693	9.56262403909987	10.5306014145168	9.55899461569918	8.40514146313634	9.84862294042934	10.5493996412466	9.51884982870769	8.95026426675727	9.07414146275251	8.70873904135958	9.35469016870116	9.04111153536915	8.46964181723952	9.2592724870376	10.7318705442875	8.87682387030637	7.67454539384587
HAND2-AS1	9.86108690599539	8.90086680798075	8.86635165707678	8.48442013182489	8.56605403817109	8.87988952178056	10.117902789094	7.93132848489379	7.92748169038177	7.25171909260596	6.24412594328373	7.78267065867701	2.29278174922785	9.04494049127973	8.2045711442492	8.81025028602818	6.01569380710515	6.77280941016073	7.10083751937407	4.34340782229781	8.68369645430652	9.00954872697226	8.66444728454797	8.69835740595729	8.54496443278924	9.02403150151675	9.65194861072345	9.60473853445992	8.10118781525974	7.39489136644259	7.31831684133498	8.36150519794804	7.72451385311995	8.27146302790437	5.41616416473313	7.92777796208234	3.08746284125034	3.49825086752783	3.64961545906341	3.51096191927738	7.33181268381921	2.48542682717024	2.58496250072116	2.67807190511264	2.05311133645956	1.65535182861255	3.97269265400426	2.29278174922785	6.47897180503294	3.4262647547021	2.56071495447448	2.35049724708413	7.25927248703759	7.03562390973072	6.02014657311178	2.76553474636298	2.96347412397489	3.78135971352466	2.43295940727611	3.13750352374994	3.26303440583379	5.38887833881199	3.20163386116965	4.8972404255748	7.86170728658586	6.59991284218713	6.467605550083	6.91408609701272	7.55842071326866	2.48542682717024	2.88752527074159	2.48542682717024	2.23266075679027	5.60584986719498	4.70043971814109	2.08746284125034	2.32192809488736	2.90689059560852	2.10433665981474	2.16992500144231	1.84799690655495	1.8073549220576	3.4594316186373	4.81249822533356	1.67807190511264	1.76553474636298	2.13750352374994	2.16992500144231	2.16992500144231	2.29278174922785	3.37851162325373	2.32192809488736	2.60880924267552	1.84799690655495	2.20163386116965	1.53605290024021	2.43295940727611	2.70043971814109	1.88752527074159	2.84799690655495	3.27798474729977	2.16992500144231	2.54843662469604	1.96347412397489	1.88752527074159	2.16992500144231	1.72246602447109	2.90689059560852	2.37851162325373	2	2.58496250072116	2.0703893278914	1.92599941855622	4.78659636189081	2.26303440583379	2.32192809488736	2.0703893278914	2.35049724708413	2.16992500144231	2.85798099512757	3.38543103719352	2.16992500144231	2.82781902461732	2.82781902461732	2.53605290024021	3.05311133645956	4.19770815795585	3.15380533607904	2.0703893278914
PKIG	11.923476056043	12.1598713367784	12.6599290168824	12.6061044270867	12.6264619524177	11.8622886512051	12.7980059484411	11.7629633185574	11.9598570758964	11.7339050765154	11.972154127312	11.808722901394	11.9919115195124	12.4547362519545	13.2961705835685	13.6242471458362	12.577523242161	12.2556335012472	12.2571717366626	12.1152712892188	12.5961897561444	12.1845654524462	11.6636248117552	12.6263706873711	12.1023366277343	12.6534720953943	12.4835386967922	11.5407576874441	11.6696380375617	11.6815458962214	11.4218018604699	11.3510496440128	12.6630688213363	11.8311488712193	11.652083100574	11.9087678828492	10.3192205025239	9.43003431857349	9.64493780550018	10.9050860987618	11.9716153995244	10.5796930634588	8.43920755494128	9.76138501376339	8.50937914891469	8.47735352663456	11.0522963312364	10.5940446229994	10.8333645068646	9.76113564982865	10.5530532527664	9.17067620949932	11.067636028167	11.1055157069058	11.4836142694714	10.1437658409755	9.54090295201063	9.71226904620469	11.5966090832919	10.5897915707357	9.64295422348033	10.185742682247	9.93428059364002	10.6960112066085	10.8324944843361	11.089649094572	11.5724633890837	11.106039418697	11.1066937912037	10.6393407086522	10.3968188150137	10.6359901302066	9.4708621994137	11.8022336144228	10.7368246990989	8.79425339154382	9.41869594960205	10.1692986957928	10.621227710052	9.39210272004142	8.6387978999517	9.49385544924082	9.59413795601193	10.0860034962871	9.25006150271721	8.83731255552431	9.17617314910749	8.38499954473004	8.36981542428391	9.31469652565629	9.06069593168755	8.26725487215199	9.38413617244761	9.52346394355377	9.63952159951083	9.5870273824021	8.81025028602818	9.82161455934585	9.40087943628218	9.19869058566892	9.84109254469343	9.34695688937888	9.02278391504765	8.86449570265158	9.26702072542732	9.24626555896271	8.86573327085176	9.04248018649247	10.4091787595007	9.94485844580754	10.0817497162489	9.54573675349338	9.578750063856	10.5357613779867	8.93191939010004	9.97341037703826	10.3929613393442	9.53274552697658	9.30697305714083	8.93531240622921	8.97513145692134	9.04821438460804	9.34207466799914	9.2240016741981	8.89178370321831	9.3562318626554	10.4170085867888	9.6487170873793	9.27052894238072
CSRP1	15.4757302649362	15.355158357114	14.8623758356955	14.5749157326653	15.1683273843885	14.6475258825637	14.9765462238621	14.705518997442	14.7910102251055	14.7303374523895	14.8011879653902	14.2933926145745	14.9022337777197	14.9897204531993	16.1575719441324	16.4509293079363	14.1818898806529	14.3976211591982	14.0084373762615	14.6895066553474	14.977652595286	14.7436668508589	14.6265161383076	15.5841697869207	14.4983942421871	14.6631466728952	14.6660020326449	14.7102952451859	14.696223173022	13.1399829452611	13.8740399855281	14.3770206896039	15.2985960313323	13.6032438317463	13.9024033801778	14.1191721513874	13.2705289423807	11.8209368165853	10.9245156222299	12.7212701140129	14.4338722825799	12.1402865813776	10.4693365603267	11.5555477716471	10.8933773803409	12.0573825765716	12.3603533017646	12.1025334751955	14.3881518588298	11.6581222043062	12.3914047153931	10.7304701371842	13.4168239116925	15.0754122946007	14.3385831925352	11.4326984796306	10.5020361635994	11.6430895543787	14.2523771602777	14.3469638126147	11.34966825491	15.4301584941775	10.1764225130422	12.5253984586696	13.7442241784543	13.2498023321738	13.4371148366492	11.8511634132201	13.186269026843	12.5073652028497	13.183759425585	12.1660689088779	11.456970381121	12.5922701475676	11.8371154094793	10.720287016843	11.8500305241898	12.0196949655633	11.609963601937	11.3027531469016	11.1208210593377	10.6569610814742	11.9196827175811	11.0890531721564	10.8020316157049	10.6240643295094	10.4933551214949	11.6359901302066	10.3789450602529	11.4537079039658	10.5085871120895	10.6055721142583	11.3526228158618	11.4699215793483	11.2896731118091	11.2303207156611	10.8704417845678	11.9883296492311	10.316111792933	10.8472139820006	10.803485375596	11.5597594639826	11.1031566483555	11.2801907922169	10.5357613779867	10.8961810113875	10.2894425756883	10.9255544398736	11.3106695795588	10.0798847362503	10.1458048061284	10.8054214461718	11.7800885984268	12.8934911470849	10.3892011014162	10.7771731080042	10.5148126628697	11.8126185518637	11.4773029261737	11.2115537354061	11.1002352485736	10.7890445128955	11.1211449475013	10.6869381716704	11.0917659385168	10.8752117917148	12.7815748721663	11.6077926419192	10.8275014951694
